lưu ý,tiến độ,name,related diseases,product names
,x,tolperisone,"Điều trị tình trạng co cứng sau đột quỵ ở người trưởng thành, Điều trị chấn thương tủy sống sau lưng, Điều trị co thắt cơ cấp tính, Bệnh đa xơ cứng, Các bệnh viêm não tủy có hoặc không có tình trạng loạn trương lực cơ,co thắt cơ miệng sau đột quỵ","Thuốc tiêm Mydocalm ( Tolperisone Hydrochloride, Lidocaine Hydrochloride - 100mg), Viên nén bao phim Tolso (50mg/1 viên), Viên nén Tolperisone (50mg/1 viên),  Viên nén bao phim Myderison (50mg/1 viên), Viên bao đường Jeforazon Tab (150mg/viên)"
,x,carisoprodol,"Đau cơ xương cấp tính, Co thắt cơ, Đau lưng cấp, Bong gân, Căng cơ, Chấn thương cơ xương","Viên nén Biromonol (350mg/1 viên), Viên nén Carisoprodol (350mg/1 viên), Viên nén Fleyesal (250mg/1 viên), Viên nén Komacto (350mg/1 viên)"
,x,succinylcholine,"Gây giãn cơ trong phẫu thuật, Hỗ trợ đặt nội khí quản, Giảm co thắt cơ trong liệu pháp sốc điện, Giãn cơ trong các thủ thuật y tế ngắn","Dung dịch tiêm Suxamethonium Chloride (50mg/ml), Thuốc tiêm Anectine (200mg/10ml), Dung dịch tiêm Quelicin (200mg/10ml), Dung dịch thuốc tiêm Succalox (100mg suxamethonium chloride)"
,x,methoxyflurane,"Đau cấp tính, Đau do chấn thương, Đau do bỏng, Đau trong quá trình vận chuyển bệnh nhân, Đau do thủ thuật y tế ngắn",Ống hít Penthrox (3ml/ống)
,x,esomeprazole,"Trào ngược dạ dày thực quản (GERD), Viêm thực quản ăn mòn, Loét dạ dày tá tràng, Loét dạ dày do H. pylori, Loét dạ dày do NSAID, Hội chứng Zollinger-Ellison, Phòng ngừa loét dạ dày do stress và do dùng thuốc chống viêm không steroid.","Viên nén bao tan trong ruột Nexium (20-40mg/1 viên), Bột pha dung dịch tiêm/truyền tĩnh mạch Nexium ( Esomeprazole magnesium trihydrate - 40mg Esomeprazole), Cốm kháng dịch dạ dày để pha hỗn dịch uống Nexium (20mg), Viên nén bao tan trong ruột Stadnex (20-40mg/viên) "
,x,rabeprazole,"Trào ngược dạ dày thực quản (GERD), Viêm thực quản ăn mòn, Loét dạ dày tá tràng, Hội chứng Zollinger-Ellison, Diệt trừ Helicobacter pylori (kết hợp kháng sinh), Khó tiêu, Ợ nóng","Viên nén bao tan trong ruột Pariet (10-20mg/1 viên), Viên nén bao tan trong ruột Rabicad (10-20mg/1 viên), Viên nén bao tan trong ruột Rabeloc (10-20mg/1 viên), Bột đông khô pha tiêm Rabeloc I.V. ( Rabeprazole natri 20mg)"
,x,dexlansoprazole,"Trào ngược dạ dày thực quản (GERD), Viêm thực quản ăn mòn (Erosive Esophagitis - EE), Duy trì sự lành vết loét do viêm thực quản ăn mòn, Điều trị chứng ợ nóng liên quan đến bệnh trào ngược không ăn mòn (NERD), Ợ nóng, Khó tiêu, Đau thượng vị","Viên nang giải phóng chậm Dexilant (30-60mg/1 viên), Viên nang cứng chứa hạt vi nang(30-60mg/1 viên)"
,x,lansoprazole,"Loét dạ dày, Loét tá tràng, Trào ngược dạ dày thực quản, Viêm thực quản ăn mòn, Hội chứng Zollinger-Ellison, Khó tiêu, Ợ nóng, Khó tiêu do axit, Diệt trừ Helicobacter pylori","Viên nang cứng Lansoprazol 30mg(30mg/1 viên), Viên nang cứng Lanzonium (30mg/1 viên), Viên nang cứng Artlanzo (30mg/1 viên)"
,x,omeprazole,"Trào ngược dạ dày thực quản, Loét dạ dày tá tràng, Hội chứng Zollinger-Ellison, Viêm thực quản trào ngược, Khó tiêu do acid, Ợ nóng, Phòng ngừa loét dạ dày do NSAID, Diệt trừ Helicobacter pylori","Viên nang Omeprazole STADA (20mg/1 viên), Viên nang Losec (20mg/1 viên), Viên nang Omez (20mg/1 viên), Viên nang Gasec (20mg/1 viên), Viên nang Omeprazol Traphaco (20mg/1 viên), Viên nang Omeprazole Hasan (20mg/1 viên), Viên nang Omeprazole Mekophar (20mg/1 viên), Viên nang Omeprazole PMP (20mg/1 viên)"
,x,pantoprazole,"Bệnh trào ngược dạ dày thực quản (GERD), Viêm thực quản ăn mòn, Hội chứng Zollinger-Ellison, Loét dạ dày tá tràng, Loét dạ dày do thuốc kháng viêm không steroid (NSAID), Diệt trừ Helicobacter pylori (kết hợp kháng sinh), Khó tiêu chức năng","Viên nén bao tan trong ruột Pantoloc (40mg/1 viên), Viên nén bao tan trong ruột Ulsotac (40mg/1 viên), Bột đông khô pha tiêm tĩnh mạch Pantoloc I.V (Pantoprazole (dưới dạng Pantoprazole natri sesquihydrate) 40mg)"
,x,metoclopramide,"Buồn nôn, Nôn mửa (do hóa trị, sau phẫu thuật, do đau nửa đầu), Trào ngược dạ dày thực quản, Liệt dạ dày (do tiểu đường, sau phẫu thuật), Hỗ trợ đặt ống thông ruột non, Hỗ trợ chụp X-quang đường tiêu hóa trên","Viên nén Metof (10mg/1 viên), Dung dịch tiêm Siutamid Injection (10mg/2ml), Viên nén Primperan (10mg/1 viên), Dung dịch tiêm Horompelin injection(10mg/2ml), Viên nén Pamin (10mg/1 viên), Dung dịch tiêm Eminil (10mg/2ml), Viên nén Metoclopramid 10mg(10mg/1 viên)"
,x,allopurinol,"Gout cấp tính, Gout mạn tính, Tăng acid uric máu nguyên phát, Tăng acid uric máu thứ phát, Sỏi thận do acid uric, Hội chứng ly giải khối u","Viên nén Allopurinol 300(300mg/1 viên), Viên nén Urictab 100(100mg/viên), Viên nén Urictab 300(300mg/viên)"
,x,lesinurad,"Tăng acid uric máu liên quan đến bệnh gout, Bệnh gout","Viên nén Zurampic (200mg/1 viên), Viên nén Duzallo (200mg lesinurad/300mg allopurinol/1 viên), Viên nén Duzallo (200mg lesinurad/200mg allopurinol/1 viên)"
,x,atorvastatin,"Tăng cholesterol máu nguyên phát, Rối loạn lipid máu hỗn hợp, Tăng triglyceride máu, Rối loạn beta-lipoprotein máu nguyên phát, Tăng cholesterol máu gia đình đồng hợp tử, Dự phòng biến cố tim mạch (nhồi máu cơ tim, đột quỵ, đau thắt ngực) ở bệnh nhân có yếu tố nguy cơ","Viên nén bao phim Lipitor (10-20-40mg/1 viên), Viên nén Atorvastatin Stada (10mg/1 viên), Viên nén Atorvastatin (10-20mg/1 viên), Viên nén Atorvastatine EG 10mg (10mg/1 viên), Viên nén Atorlog 20 (20mg/1 viên)"
,x,simvastatin,"Tăng cholesterol máu nguyên phát, Rối loạn lipid máu hỗn hợp, Tăng cholesterol máu gia đình đồng hợp tử, Phòng ngừa biến cố tim mạch ở bệnh nhân có nguy cơ cao, Giảm nguy cơ nhồi máu cơ tim, Giảm nguy cơ đột quỵ, Giảm nguy cơ cần tái thông mạch vành","Viên nén Zocor (10-20-40mg/1 viên), Viên nén Simavas (10-20mg/1 viên), Viên nén Liponil (20mg/1 viên), Viên nén Simvastatin stada (10-20mg/1 viên), Viên nén Meyervastin(10-20mg/1 viên)"
,x,atenolol,"Tăng huyết áp, Đau thắt ngực, Loạn nhịp tim, Nhồi máu cơ tim cấp","Viên nén Tenormin (50mg/1 viên), Viên nén Atenstad 50 (50mg/1 viên), Viên nén Atenolol Stada (100mg/1 viên), Viên nén Teginol 50 (50mg/1 viên), Viên nén Aginolol 100 (100mg/1 viên), Viên nén Aginolol 50(50mg/1 viên)"
,x,bisoprolol,"Tăng huyết áp, Đau thắt ngực ổn định mạn tính, Suy tim mạn tính ổn định","Viên nén Concor (2.5-5mg/1 viên), Viên nén Concor (10mg/1 viên), Viên nén Bisoloc (2.5-5mg/1 viên), Viên nén Bisoprolol Stada (5-10mg/1 viên)"
,x,carvedilol,"Tăng huyết áp, Suy tim sung huyết, Đau thắt ngực, Rối loạn chức năng thất trái sau nhồi máu cơ tim","Viên nén Carvestad 6.25 (6.25-12.5mg/1 viên), Viên nén Vedicard (3.125-6.25-12.5-25mg/1 viên), Viên nén Carvedol(6.25-12.5-25mg/1 viên), Viên nén Dilatrend (6.25-12.5-25mg/1 viên)"
,x,metoprolol,"Cao huyết áp, Đau thắt ngực, Nhồi máu cơ tim cấp, Rối loạn nhịp tim, Nhịp nhanh trên thất, Suy tim mạn tính ổn định, Đau nửa đầu","Viên nén giải phóng chậm Betaloc ZOK (25-50mg/1 viên), Viên nén Egilok (50-10mg/1 viên),Viên nén bao phim phóng thích kéo dài Succipres (25-50mg/viên), Viên nén giải phóng kéo dài Plendil Plus(chứa 50mg metoprolol/viên)"
,x,nebivolol,"Tăng huyết áp vô căn, Suy tim mạn tính ổn định mức độ nhẹ đến trung bình ở bệnh nhân từ 70 tuổi trở lên","Viên nén Nebilet (5mg/1 viên), Viên nén mayervolol (2.5mg/1 viên), Viên nén Mibelet (5mg/1 viên), Viên nén Nebivolol Statda 5mg (5mg/1 viên)"
,x,propranolol,"Tăng huyết áp, Đau thắt ngực, Loạn nhịp tim, Nhồi máu cơ tim, Đau nửa đầu (phòng ngừa), Run vô căn, Lo âu, Cường giáp (kiểm soát triệu chứng), Tăng áp lực tĩnh mạch cửa, U tủy thượng thận","Viên nén Cardio-BFS (1mg/1 viên), Viên nén Dorocardyl 40mg (40mg/1 viên), Viên nén Propranolol (40mg/1 viên)"
,x,sotalol,"Rung nhĩ, Cuồng nhĩ, Nhịp nhanh thất đe dọa tính mạng, Rối loạn nhịp thất","Viên nén Opebeta 80 (80mg/1 viên), Viên nén Asmolex 80 (80mg/1 viên), Viên nén Medifox 80 (80mg/1 viên), Viên nén SotaHexal 80mg (80mg/1 viên)"
,x,timolol,"Glaucoma, Tăng nhãn áp, Glaucoma góc mở, Glaucoma thứ phát, Giảm áp lực nội nhãn","Dung dịch nhỏ mắt Duotrav ( Travoprost - 40 mcg/ml; Timolol - 5mg/ml;), Dung dịch nhỏ mắt Timoeye 0,25% (12,5mg/5ml;), Dung dịch nhỏ mắt Timoeye 0,5% (25mg/5ml), Hỗn dịch nhỏ mắt Azarga ( Brinzolamide 10mg/ml - ; Timolol (dưới dạngTimolol maleate) 5mg/ml ),  Dung dịch nhỏ mắt Ganfort ( Timolol 5mg),  Dung dịch nhỏ mắt Xalacom (12,5mg Timolol)"
,x,brivaracetam,"Động kinh cục bộ, Co giật cục bộ, Động kinh khởi phát cục bộ","Viên nén bao phim Briviact (10mg/1 viên), Viên nén bao phim Briviact (25mg/1 viên), Viên nén bao phim Briviact (50mg/1 viên), Viên nén bao phim Briviact (75mg/1 viên), Dung dịch uống Briviact (10mg/ml), Dung dịch tiêm Briviact (50mg/5ml)"
,x,acenocoumarol,"Huyết khối tĩnh mạch sâu, Thuyên tắc phổi, Rung nhĩ, dự phòng sau đặt van tim nhân tạo, Đột quỵ do cục máu đông, Nhồi máu cơ tim, cơn thiếu máu qua não","Viên nén Darius (1-4mg/1 viên), Viên nén Darian (1-4mg/1 viên), Viên nén Azenmarol (1-4mg/1 viên), Viên nén Vincerol 1mg (1mg/1 viên)"
,x,clopidogrel,"Nguy cơ tai biến huyết khối động mạch ở bệnh nhân can thiệp mạch vành, cơn thiếu máu cục bộ thoáng qua, cơn đột quỵ thiếu máu cục bộ cấp, huyết khối động mạch và tai biến huyết khối tắc mạch","Viên nén bao phim Plavix (75mg/1 viên), Viên nén bao phim Futagrel (75mg/1 viên), Viên nén bao phim Clopistad (75mg/1 viên), Viên nén bao phim Redpalm (75mg/1 viên), Viên nén bao phim Pidogrel (75mg/1 viên)"
,x,phenprocoumon,"Phòng ngừa và điều trị huyết khối tĩnh mạch sâu, Phòng ngừa và điều trị thuyên tắc phổi, Phòng ngừa đột quỵ ở bệnh nhân rung nhĩ, Phòng ngừa huyết khối hệ thống ở bệnh nhân có van tim nhân tạo, Phòng ngừa huyết khối tắc mạch sau phẫu thuật","Viên nén Marcumar (3mg/1 viên), Viên nén Falithrom (3mg/1 viên)"
,x,ticagrelor,"Hội chứng vành cấp, Nhồi máu cơ tim, Đột quỵ, Đau thắt ngực không ổn định, Bệnh động mạch vành","Viên nén bao phim Brilinta (90mg/1 viên), Viên nén bao phim Feleilor (90mg/1 viên), Viên nén bao phim Platetica (90mg/viên)"
,x,amiodarone,"Rối loạn nhịp thất đe dọa tính mạng, Rung nhĩ, Cuồng nhĩ, Nhịp nhanh trên thất, Dự phòng tái phát rung nhĩ, Dự phòng tái phát cuồng nhĩ, Rối loạn nhịp tim sau nhồi máu cơ tim","Viên nén Cordarone (200mg/1 viên), Dung dịch tiêm Cordarone (150mg/3ml), Viên nén Amidorol (200mg/1 viên), Viên nén Miradone (200mg/1 viên), Dung dịch tiêm BFS-Amiron (150mg/3ml)"
,x,disopyramide,"Rối loạn nhịp thất, Nhịp nhanh thất, Ngoại tâm thu thất","Viên nang Rythmodan (100-150mg/1 viên), Viên nang Norpace (100-150mg/1 viên), "
,x,flecainide,"Rung nhĩ kịch phát, Cuồng nhĩ kịch phát, Nhịp nhanh trên thất kịch phát, Nhịp nhanh thất bền vững, Loạn nhịp thất đe dọa tính mạng","Viên nén Tambocor (50-100mg/1 viên), Viên nén Tambocor (100mg/1 viên), Viên nén Flecainide Acetate (50-100mg/1 viên), Viên nén Flecainide (50-100mg/1 viên)"
,x,propafenone,"Rung nhĩ, Cuồng nhĩ, Nhịp nhanh trên thất kịch phát, Ngoại tâm thu thất, Nhịp nhanh thất","Viên nén Rytmonorm (150-300mg/1 viên), Viên nén Rythmol (150-225-300mg/1 viên)"
,x,quinidine,"Rung nhĩ, Cuồng nhĩ, Nhịp nhanh thất, Rối loạn nhịp trên thất, Sốt rét thể nặng","Viên nén Quinidine Sulfate (200-300mg/1 viên), Viên nén phóng thích kéo dài Quinidine Gluconate (324mg/1 viên), thuốc tiêm truyền Quinidine Gluconate(80 mg/1mL)"
,x,ranolazine,"Đau thắt ngực mạn tính, Đau ngực do thiếu máu cơ tim, Bệnh mạch vành (giảm triệu chứng đau thắt ngực), Cải thiện khả năng gắng sức ở bệnh nhân đau thắt ngực","Viên nén phóng thích kéo dài Ranexa (500-1000mg/1 viên), Viên nén phóng thích kéo dài Corzyna (500-1000mg/1 viên)"
,x,vernakalant,"Rung nhĩ khởi phát gần đây, Chuyển nhịp nhanh rung nhĩ về nhịp xoang",Dung dịch tiêm truyền Brinavess (20 mg/mL)
,x,losartan,"Cao huyết áp, Bệnh thận do tiểu đường, Giảm nguy cơ đột quỵ ở bệnh nhân cao huyết áp và phì đại thất trái, Suy tim","Viên nén Cozaar (50-100mg/1 viên), Viên nén Losartan Stada (12.5-50-100mg/1 viên), Viên nén bap phim Bivitanpo (50-100mg/1 viên)"
,x,avatrombopag,"Giảm tiểu cầu mạn tính (ITP), Giảm tiểu cầu ở bệnh nhân mắc bệnh gan mạn tính chuẩn bị phẫu thuật hoặc thủ thuật xâm lấn",Viên nén Doptelet (20mg/1 viên)
,x,clonidine,"Tăng huyết áp, Rối loạn tăng động giảm chú ý, Triệu chứng cai nghiện opioid, Đau thần kinh, Bốc hỏa do mãn kinh, Hội chứng Tourette, tăng nhãn áp, tiền mê","Viên nén Catapres (0.1-0.2mg/1 viên), Viên nén phóng thích kéo dài Kapvay (0.1-0.2mg/1 viên)"
,x,dronedarone,"Rung nhĩ, Cuồng nhĩ, Duy trì nhịp xoang ở bệnh nhân rung nhĩ kịch phát hoặc dai dẳng, Giảm nguy cơ nhập viện do tim mạch ở bệnh nhân rung nhĩ",Viên nén bao phim Multaq (400mg/1 viên)
,x,glibenclamide,Đái tháo đường type 2,"Viên nén Maninil (3.5-5mg/1 viên), Viên nén Plariche (1.75-3.5-5mg/1 viên)"
,x,gliclazide,"Đái tháo đường týp 2, Kiểm soát đường huyết, Tăng đường huyết","Viên nén phóng thích có kiểm soát Diamicron MR (30-60mg/1 viên), Viên nén phóng thích có kiểm soát Golddicron MR (30mg/1 viên), Viên nén giải phóng có kiếm soát Lazibet MR (60mg/1 viên)"
,x,glimepiride,"Đái tháo đường type 2, Kiểm soát đường huyết ở bệnh nhân đái tháo đường type 2","Viên nén Amaryl (1-2-4mg/1 viên), Viên nén Sigmaryl (2-4mg/1 viên), Viên nén Glimepiride Denk 3 (3mg/1 viên), Viên nén Glimepiride Stada (2-4mg/1 viên)"
,x,tolbutamide,"Tiểu đường type 2, Đái tháo đường không phụ thuộc insulin","Viên nén Orinase (500-1000mg/1 viên), Viên nén Rastinon (500mg/1 viên)"
,x,eliglustat,Bệnh Gaucher tuýp 1,Viên nang Cerdelga (84mg/1 viên)
Trùng,x,celecoxib,"Viêm xương khớp, Viêm khớp dạng thấp, Viêm cột sống dính khớp, Đau cấp tính, Đau bụng kinh nguyên phát, Viêm khớp dạng thấp ở trẻ vị thành niên","Viên nang cứng Celebrex (200mg/1 viên), Viên nang Celcoxx (100-200mg/1 viên), Viên nang Celecoxib 200mg (200mg/1 viên)"
,x,irinotecan,"Ung thư đại trực tràng di căn, Ung thư phổi tế bào nhỏ, Ung thư tụy, Ung thư dạ dày, Ung thư buồng trứng, U nguyên bào thần kinh","Dung dịch tiêm Irinotecan (40mg/2ml),  Dung dịch đậm đặc để pha dung dịch tiêm truyền Irinotecan ""Ebewe"" 100mg/5ml (100mg/5ml), Dung dịch tiêm Irinotecan onkovis 20mg/ml (20mg/ml),  Dung dịch đậm đặc để pha dung dịch tiêm truyền Campto (100mg/5ml)"
,x,axitinib,Ung thư biểu mô tế bào thận tiến triển,Viên nén bao phim Inlyta (1-5mg/1 viên)
,x,capecitabine,"Ung thư đại trực tràng, Ung thư vú, Ung thư dạ dày","Viên nén bao phim Xeloda (150-500mg/1 viên), Viên nén bao phim Capezen 150mg (150mg/1 viên), Viên nén bao phim Capecitabine (150-500mg/1 viên), Viên nén bao phim Capelodine (150-500mg/1 viên)"
,x,erdafitinib,"Ung thư biểu mô đường niệu tiến triển hoặc di căn, ung thư bàng quang có đột biến gen FGFR",Viên nén Balversa (2-3-5mg/1 viên)
,x,fluorouracil,"Ung thư đại trực tràng, Ung thư vú, Ung thư dạ dày, Ung thư tụy, Ung thư đầu và cổ, Ung thư da, Dày sừng quang hóa, Bệnh Bowen","Dung dịch tiêm, truyền tĩnh mạch Oncofluor( 500mg/10ml), Dung dịch dùng ngoài Fluorouracil (5%), Dung dịch tiêm 5-FU Onkovis 50mg/ml (50mg/ml), Dung dịch đậm đặc để pha dung dịch tiêm và tiêm truyền 5-Fluorouracil ""Ebewe"" (50mg/ml)"
,x,gefitinib,Ung thư phổi không tế bào nhỏ (NSCLC) tiến triển tại chỗ hoặc di căn có đột biến gen EGFR,"Viên nén Iressa (250mg/1 viên), Viên nén Matilda (250mg/1 viên), Viên nén Bigefinib 250(250mg/1 viên)"
,x,ibrutinib,"điều trị nhiều loại ung thư máu, bệnh ghép chống vật chủ mạn tính (cGVHD).","Viên nang Imbruvica (140mg/1 viên), viên nén bao phim Imbruvica (140mg/1 viên)"
,x,rucaparib,"Ung thư buồng trứng tái phát, Ung thư ống dẫn trứng tái phát, Ung thư phúc mạc tái phát, Ung thư tuyến tiền liệt di căn kháng thiến có đột biến BRCA",Viên nén Rubraca (200-250-300mg/1 viên)
,x,tegafur,"Ung thư dạ dày, Ung thư đại trực tràng, Ung thư vú, Ung thư phổi, Ung thư gan","Viên nang Ufur capsule (tegafur 100mg), Viên nang Mefuform (tegafur 100mg), Viên nang TS-One capsule (tegafur 20-25mg)"
,x,tamoxifen,"Ung thư vú, Ung thư vú dương tính với thụ thể hormone, Điều trị bổ trợ ung thư vú, Ung thư vú di căn, Phòng ngừa ung thư vú ở phụ nữ có nguy cơ cao","Viên nén Nolvadex (10-20mg/1 viên), Viên nén Tamoxifen Sandoz(10-20mg/1 viên), Viên nén Zitazonium (10mg/1 viên), Viên nén Rolnadez (10-20mg/1 viên)"
,x,mercaptopurine,"Bệnh bạch cầu cấp dòng lympho (ALL), Bệnh Crohn, Viêm loét đại tràng","Viên nén Purinethol (50mg/1 viên), Viên nén Mercaptopurine (50mg/1 viên)"
,x,voriconazole,"Nhiễm nấm Aspergillus xâm lấn, Nhiễm nấm Candida huyết ở bệnh nhân không giảm bạch cầu trung tính, Nhiễm nấm Candida thực quản, Nhiễm nấm nặng do Scedosporium spp., Nhiễm nấm nặng do Fusarium spp., Các nhiễm nấm xâm lấn nặng khác","Viên nén bao phim Lsp-Virona(200mg/1 viên), Viên nén bao phim Galfend (200mg/1 viên), Thuốc tiêm đông khô Atinazol 200 mg(200mg/lọ), Viên nén bao phim Voritab (50-200mg/1 viên)"
,x,flucloxacillin,"Nhiễm trùng da và mô mềm, Viêm mô tế bào, Chốc lở, Nhọt, Mụn nhọt, Nhiễm trùng vết thương, Áp xe, Nhiễm trùng xương và khớp, Viêm tủy xương, Viêm khớp nhiễm khuẩn, Viêm nội tâm mạc, Nhiễm trùng đường hô hấp, Viêm phổi, Viêm phế quản, Nhiễm trùng huyết, Dự phòng nhiễm trùng phẫu thuật","Viên nang Floxapen (250-500mg/1 viên), viên nang Fluclox cap (250-500mg/viên)"
,x,atazanavir,"Nhiễm HIV-1, AIDS","Viên nang Atazanavir Capsules (200-300mg/1 viên), Viên nang Atazanavir (as sulfate) capsules (150-300mg/1 viên), Viên nén bao phim Tastaza (300mg/1 viên)"
,x,abacavir,"Nhiễm HIV-1, Hội chứng suy giảm miễn dịch mắc phải (AIDS)","Viên nén Abacavir tablets USP 300mg (300mg/1 viên), Viên nén Abamune-L (Abacavir (dưới dạng abacavir sulfat) - 600mg; Lamivudin - 300mg/1 viên)"
