query,label
"Cách chuẩn bị cho buổi phỏng vấn xin việc để tạo ấn tượng tốt với nhà tuyển dụng?",general
"Phương pháp học ngoại ngữ nào giúp phát triển kỹ năng giao tiếp thực tế nhanh nhất?",general
"Cách tổ chức tiệc sinh nhật tại nhà vui vẻ và ấn tượng với số lượng khách ít?",general
"Thể loại nhạc nào đang được giới trẻ Việt Nam yêu thích và theo đuổi nhiều nhất?",general
"Cách chọn và sử dụng nước hoa phù hợp với từng dịp và cá tính riêng?",general
"Phương pháp đọc sách hiệu quả nào giúp ghi nhớ và áp dụng kiến thức vào thực tế?",general
"Cách làm smoothie bowl healthy và đẹp mắt cho bữa sáng dinh dưỡng?",general
"Kỹ năng giao tiếp nào quan trọng nhất trong môi trường làm việc đa văn hóa?",general
"Cách tự học photoshop từ cơ bản đến nâng cao mà không cần khóa học trả phí?",general
"Phương pháp tập thể dục tại nhà hiệu quả nhất khi không có thời gian đến gym?",general
"Cách chọn và bảo quản giày dép để sử dụng lâu dài và luôn như mới?",general
"Ứng dụng học ngôn ngữ nào miễn phí và hiệu quả nhất cho người mới bắt đầu?",general
"Cách làm đồ handmade từ vật liệu tái chế để trang trí nhà cửa sáng tạo?",general
"Phương pháp tiết kiệm chi tiêu hàng tháng nào phù hợp nhất cho dân văn phòng?",general
"Cách chăm sóc tóc tự nhiên tại nhà để có mái tóc khỏe mạnh và bóng mượt?",general
"Kỹ thuật nấu ăn cơ bản nào mọi người nên biết để tự chăm sóc bản thân?",general
"Cách tạo thói quen đọc sách hàng ngày và duy trì lâu dài một cách hiệu quả?",general
"Phương pháp học lịch sử một cách thú vị và dễ nhớ cho học sinh phổ thông?",general
"Cách chọn quà tặng ý nghĩa và phù hợp với từng mối quan hệ xã hội khác nhau?",general
